AWAY,HOME,HOME_TEAM_RESULT,W%,B_index,LV2,wOBA,WAR,WAR,W%,B_index,LV2,wOBA,WAR,WAR
Braves,Padres,W,0.422360248,45.5,26.35,0.304,8.9,10,0.419753086,48.5,26.19,0.297,8.7,11.6
Indians,Mariners,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.530864198,46.6,28.27,0.325,12.9,20.9
Rockies,Dodgers,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.561728395,46.3,32.05,0.314,22.7,24.2
RedSox,Giants,L,0.574074074,46.6,29.18,0.346,18.1,35,0.537037037,43.5,28.27,0.315,17.2,26.8
Cubs,Phillies,L,0.635802469,46.7,30.36,0.333,20.6,38,0.438271605,47,28.53,0.296,13.6,10.2
BlueJays,Tigers,L,0.549382716,46.7,28.14,0.327,19,23.7,0.534161491,48,27.31,0.33,17.4,19.4
Braves,Padres,L,0.422360248,45.5,26.35,0.304,8.9,10,0.419753086,48.5,26.19,0.297,8.7,11.6
Royals,Orioles,W,0.5,46.3,27.5,0.307,9.9,14.6,0.549382716,47.3,26.91,0.326,15.4,20.2
Angels,Yankees,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.518518519,44.8,30.4,0.311,18.2,14.6
Mets,Pirates,L,0.537037037,45.9,29.76,0.315,24.4,20.5,0.481481481,47,26.13,0.318,9.2,17.3
Cardinals,Reds,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.419753086,46.7,26.46,0.311,-1.4,15.9
Astros,Rangers,L,0.518518519,48.1,29.74,0.317,20.1,20.6,0.586419753,46.2,25.24,0.324,10.1,18.7
Marlins,Twins,W,0.49068323,46.1,28.77,0.309,14.5,20,0.364197531,47.9,26.48,0.317,8.5,12.5
Athletics,Brewers,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.450617284,49.9,25.31,0.315,12.5,12.3
Nationals,WhiteSox,L,0.586419753,45.8,31.17,0.322,23.2,23,0.481481481,46.7,27.06,0.314,15.9,16.4
Indians,Mariners,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.530864198,46.6,28.27,0.325,12.9,20.9
Rockies,Dodgers,L,0.462962963,48.8,26.66,0.339,13.5,17.5,0.561728395,46.3,32.05,0.314,22.7,24.2
RedSox,Giants,W,0.574074074,46.6,29.18,0.346,18.1,35,0.537037037,43.5,28.27,0.315,17.2,26.8
Astros,Rangers,W,0.518518519,48.1,29.74,0.317,20.1,20.6,0.586419753,46.2,25.24,0.324,10.1,18.7
Pirates,Rockies,W,0.481481481,47,26.13,0.318,9.2,17.3,0.462962963,48.8,26.66,0.339,13.5,17.5
Angels,Yankees,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.518518519,44.8,30.4,0.311,18.2,14.6
Orioles,BlueJays,L,0.549382716,47.3,26.91,0.326,15.4,20.2,0.549382716,46.7,28.14,0.327,19,23.7
Cardinals,Reds,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.419753086,46.7,26.46,0.311,-1.4,15.9
Marlins,Twins,L,0.49068323,46.1,28.77,0.309,14.5,20,0.364197531,47.9,26.48,0.317,8.5,12.5
Mets,Brewers,L,0.537037037,45.9,29.76,0.315,24.4,20.5,0.450617284,49.9,25.31,0.315,12.5,12.3
Nationals,WhiteSox,W,0.586419753,45.8,31.17,0.322,23.2,23,0.481481481,46.7,27.06,0.314,15.9,16.4
Indians,Mariners,L,0.583850932,46.4,30.09,0.326,18.7,26.7,0.530864198,46.6,28.27,0.325,12.9,20.9
Tigers,Yankees,W,0.534161491,48,27.31,0.33,17.4,19.4,0.518518519,44.8,30.4,0.311,18.2,14.6
Phillies,Nationals,W,0.438271605,47,28.53,0.296,13.6,10.2,0.586419753,45.8,31.17,0.322,23.2,23
Cardinals,Pirates,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.481481481,47,26.13,0.318,9.2,17.3
Orioles,BlueJays,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.549382716,46.7,28.14,0.327,19,23.7
Astros,Rays,W,0.518518519,48.1,29.74,0.317,20.1,20.6,0.419753086,48.8,29.26,0.315,12.2,17.3
Athletics,Reds,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.419753086,46.7,26.46,0.311,-1.4,15.9
Cubs,Braves,W,0.635802469,46.7,30.36,0.333,20.6,38,0.422360248,45.5,26.35,0.304,8.9,10
RedSox,Twins,L,0.574074074,46.6,29.18,0.346,18.1,35,0.364197531,47.9,26.48,0.317,8.5,12.5
Royals,WhiteSox,W,0.5,46.3,27.5,0.307,9.9,14.6,0.481481481,46.7,27.06,0.314,15.9,16.4
Mets,Brewers,L,0.537037037,45.9,29.76,0.315,24.4,20.5,0.450617284,49.9,25.31,0.315,12.5,12.3
Padres,Rockies,L,0.419753086,48.5,26.19,0.297,8.7,11.6,0.462962963,48.8,26.66,0.339,13.5,17.5
Indians,Angels,L,0.583850932,46.4,30.09,0.326,18.7,26.7,0.456790123,42.4,25.16,0.314,6.7,20.7
Rangers,Mariners,W,0.586419753,46.2,25.24,0.324,10.1,18.7,0.530864198,46.6,28.27,0.325,12.9,20.9
Dodgers,Giants,L,0.561728395,46.3,32.05,0.314,22.7,24.2,0.537037037,43.5,28.27,0.315,17.2,26.8
Phillies,Nationals,W,0.438271605,47,28.53,0.296,13.6,10.2,0.586419753,45.8,31.17,0.322,23.2,23
Orioles,BlueJays,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.549382716,46.7,28.14,0.327,19,23.7
RedSox,Twins,L,0.574074074,46.6,29.18,0.346,18.1,35,0.364197531,47.9,26.48,0.317,8.5,12.5
Royals,WhiteSox,L,0.5,46.3,27.5,0.307,9.9,14.6,0.481481481,46.7,27.06,0.314,15.9,16.4
Cubs,Braves,L,0.635802469,46.7,30.36,0.333,20.6,38,0.422360248,45.5,26.35,0.304,8.9,10
Astros,Rays,L,0.518518519,48.1,29.74,0.317,20.1,20.6,0.419753086,48.8,29.26,0.315,12.2,17.3
Mets,Brewers,W,0.537037037,45.9,29.76,0.315,24.4,20.5,0.450617284,49.9,25.31,0.315,12.5,12.3
Athletics,Reds,W,0.425925926,43.6,26.37,0.302,12.2,2.7,0.419753086,46.7,26.46,0.311,-1.4,15.9
Padres,Rockies,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.462962963,48.8,26.66,0.339,13.5,17.5
Tigers,Yankees,L,0.534161491,48,27.31,0.33,17.4,19.4,0.518518519,44.8,30.4,0.311,18.2,14.6
Dodgers,Giants,W,0.561728395,46.3,32.05,0.314,22.7,24.2,0.537037037,43.5,28.27,0.315,17.2,26.8
Cardinals,Pirates,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.481481481,47,26.13,0.318,9.2,17.3
Indians,Angels,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.456790123,42.4,25.16,0.314,6.7,20.7
Rangers,Mariners,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.530864198,46.6,28.27,0.325,12.9,20.9
Orioles,BlueJays,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.549382716,46.7,28.14,0.327,19,23.7
Astros,Rays,W,0.518518519,48.1,29.74,0.317,20.1,20.6,0.419753086,48.8,29.26,0.315,12.2,17.3
Athletics,Reds,L,0.425925926,43.6,26.37,0.302,12.2,2.7,0.419753086,46.7,26.46,0.311,-1.4,15.9
Cubs,Braves,L,0.635802469,46.7,30.36,0.333,20.6,38,0.422360248,45.5,26.35,0.304,8.9,10
Tigers,Yankees,L,0.534161491,48,27.31,0.33,17.4,19.4,0.518518519,44.8,30.4,0.311,18.2,14.6
RedSox,Twins,W,0.574074074,46.6,29.18,0.346,18.1,35,0.364197531,47.9,26.48,0.317,8.5,12.5
Royals,WhiteSox,L,0.5,46.3,27.5,0.307,9.9,14.6,0.481481481,46.7,27.06,0.314,15.9,16.4
Mets,Brewers,W,0.537037037,45.9,29.76,0.315,24.4,20.5,0.450617284,49.9,25.31,0.315,12.5,12.3
Indians,Angels,L,0.583850932,46.4,30.09,0.326,18.7,26.7,0.456790123,42.4,25.16,0.314,6.7,20.7
Phillies,Nationals,W,0.438271605,47,28.53,0.296,13.6,10.2,0.586419753,45.8,31.17,0.322,23.2,23
Padres,Rockies,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.462962963,48.8,26.66,0.339,13.5,17.5
Rangers,Mariners,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.530864198,46.6,28.27,0.325,12.9,20.9
Cardinals,Pirates,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.481481481,47,26.13,0.318,9.2,17.3
Dodgers,Giants,W,0.561728395,46.3,32.05,0.314,22.7,24.2,0.537037037,43.5,28.27,0.315,17.2,26.8
Cubs,Nationals,W,0.635802469,46.7,30.36,0.333,20.6,38,0.586419753,45.8,31.17,0.322,23.2,23
Phillies,BlueJays,L,0.438271605,47,28.53,0.296,13.6,10.2,0.549382716,46.7,28.14,0.327,19,23.7
Reds,Braves,L,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.422360248,45.5,26.35,0.304,8.9,10
Tigers,WhiteSox,W,0.534161491,48,27.31,0.33,17.4,19.4,0.481481481,46.7,27.06,0.314,15.9,16.4
Indians,Royals,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.5,46.3,27.5,0.307,9.9,14.6
Twins,Angels,L,0.364197531,47.9,26.48,0.317,8.5,12.5,0.456790123,42.4,25.16,0.314,6.7,20.7
Rangers,Athletics,W,0.586419753,46.2,25.24,0.324,10.1,18.7,0.425925926,43.6,26.37,0.302,12.2,2.7
Marlins,Padres,L,0.49068323,46.1,28.77,0.309,14.5,20,0.419753086,48.5,26.19,0.297,8.7,11.6
Brewers,Giants,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.537037037,43.5,28.27,0.315,17.2,26.8
Phillies,BlueJays,W,0.438271605,47,28.53,0.296,13.6,10.2,0.549382716,46.7,28.14,0.327,19,23.7
Cubs,Nationals,L,0.635802469,46.7,30.36,0.333,20.6,38,0.586419753,45.8,31.17,0.322,23.2,23
Orioles,RedSox,L,0.549382716,47.3,26.91,0.326,15.4,20.2,0.574074074,46.6,29.18,0.346,18.1,35
Reds,Braves,L,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.422360248,45.5,26.35,0.304,8.9,10
Pirates,Mets,L,0.481481481,47,26.13,0.318,9.2,17.3,0.537037037,45.9,29.76,0.315,24.4,20.5
Mariners,Rays,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.419753086,48.8,29.26,0.315,12.2,17.3
Tigers,WhiteSox,L,0.534161491,48,27.31,0.33,17.4,19.4,0.481481481,46.7,27.06,0.314,15.9,16.4
Indians,Royals,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.5,46.3,27.5,0.307,9.9,14.6
Astros,Cardinals,L,0.518518519,48.1,29.74,0.317,20.1,20.6,0.530864198,46.7,27.7,0.329,17.4,22.3
Yankees,Rockies,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.462962963,48.8,26.66,0.339,13.5,17.5
Twins,Angels,W,0.364197531,47.9,26.48,0.317,8.5,12.5,0.456790123,42.4,25.16,0.314,6.7,20.7
Rangers,Athletics,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.425925926,43.6,26.37,0.302,12.2,2.7
Marlins,Padres,L,0.49068323,46.1,28.77,0.309,14.5,20,0.419753086,48.5,26.19,0.297,8.7,11.6
Brewers,Giants,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.537037037,43.5,28.27,0.315,17.2,26.8
Yankees,Rockies,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.462962963,48.8,26.66,0.339,13.5,17.5
Marlins,Padres,W,0.49068323,46.1,28.77,0.309,14.5,20,0.419753086,48.5,26.19,0.297,8.7,11.6
Brewers,Giants,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.537037037,43.5,28.27,0.315,17.2,26.8
Cubs,Nationals,W,0.635802469,46.7,30.36,0.333,20.6,38,0.586419753,45.8,31.17,0.322,23.2,23
BlueJays,Phillies,L,0.549382716,46.7,28.14,0.327,19,23.7,0.438271605,47,28.53,0.296,13.6,10.2
Orioles,RedSox,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.574074074,46.6,29.18,0.346,18.1,35
Reds,Braves,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.422360248,45.5,26.35,0.304,8.9,10
Pirates,Mets,W,0.481481481,47,26.13,0.318,9.2,17.3,0.537037037,45.9,29.76,0.315,24.4,20.5
Mariners,Rays,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.419753086,48.8,29.26,0.315,12.2,17.3
Astros,Cardinals,L,0.518518519,48.1,29.74,0.317,20.1,20.6,0.530864198,46.7,27.7,0.329,17.4,22.3
Tigers,WhiteSox,W,0.534161491,48,27.31,0.33,17.4,19.4,0.481481481,46.7,27.06,0.314,15.9,16.4
Indians,Royals,W,0.583850932,46.4,30.09,0.326,18.7,26.7,0.5,46.3,27.5,0.307,9.9,14.6
Twins,Angels,W,0.364197531,47.9,26.48,0.317,8.5,12.5,0.456790123,42.4,25.16,0.314,6.7,20.7
Rangers,Athletics,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.425925926,43.6,26.37,0.302,12.2,2.7
Reds,Braves,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.422360248,45.5,26.35,0.304,8.9,10
Mariners,Rays,L,0.530864198,46.6,28.27,0.325,12.9,20.9,0.419753086,48.8,29.26,0.315,12.2,17.3
Rangers,Athletics,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.425925926,43.6,26.37,0.302,12.2,2.7
BlueJays,Phillies,L,0.549382716,46.7,28.14,0.327,19,23.7,0.438271605,47,28.53,0.296,13.6,10.2
Orioles,RedSox,L,0.549382716,47.3,26.91,0.326,15.4,20.2,0.574074074,46.6,29.18,0.346,18.1,35
Pirates,Mets,W,0.481481481,47,26.13,0.318,9.2,17.3,0.537037037,45.9,29.76,0.315,24.4,20.5
Yankees,Twins,L,0.518518519,44.8,30.4,0.311,18.2,14.6,0.364197531,47.9,26.48,0.317,8.5,12.5
Tigers,Royals,L,0.534161491,48,27.31,0.33,17.4,19.4,0.5,46.3,27.5,0.307,9.9,14.6
Brewers,Dodgers,L,0.450617284,49.9,25.31,0.315,12.5,12.3,0.561728395,46.3,32.05,0.314,22.7,24.2
Nationals,Padres,L,0.586419753,45.8,31.17,0.322,23.2,23,0.419753086,48.5,26.19,0.297,8.7,11.6
Pirates,Cubs,W,0.481481481,47,26.13,0.318,9.2,17.3,0.635802469,46.7,30.36,0.333,20.6,38
BlueJays,Orioles,L,0.549382716,46.7,28.14,0.327,19,23.7,0.549382716,47.3,26.91,0.326,15.4,20.2
Braves,Mets,L,0.422360248,45.5,26.35,0.304,8.9,10,0.537037037,45.9,29.76,0.315,24.4,20.5
WhiteSox,Indians,W,0.481481481,46.7,27.06,0.314,15.9,16.4,0.583850932,46.4,30.09,0.326,18.7,26.7
Rockies,Marlins,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.49068323,46.1,28.77,0.309,14.5,20
Giants,Rays,L,0.537037037,43.5,28.27,0.315,17.2,26.8,0.419753086,48.8,29.26,0.315,12.2,17.3
Mariners,RedSox,L,0.530864198,46.6,28.27,0.325,12.9,20.9,0.574074074,46.6,29.18,0.346,18.1,35
Reds,Astros,L,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.518518519,48.1,29.74,0.317,20.1,20.6
Yankees,Twins,L,0.518518519,44.8,30.4,0.311,18.2,14.6,0.364197531,47.9,26.48,0.317,8.5,12.5
Tigers,Royals,W,0.534161491,48,27.31,0.33,17.4,19.4,0.5,46.3,27.5,0.307,9.9,14.6
Rangers,Cardinals,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.530864198,46.7,27.7,0.329,17.4,22.3
Angels,Athletics,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.425925926,43.6,26.37,0.302,12.2,2.7
Brewers,Dodgers,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.561728395,46.3,32.05,0.314,22.7,24.2
Nationals,Padres,L,0.586419753,45.8,31.17,0.322,23.2,23,0.419753086,48.5,26.19,0.297,8.7,11.6
Yankees,Twins,L,0.518518519,44.8,30.4,0.311,18.2,14.6,0.364197531,47.9,26.48,0.317,8.5,12.5
Angels,Athletics,L,0.456790123,42.4,25.16,0.314,6.7,20.7,0.425925926,43.6,26.37,0.302,12.2,2.7
Mariners,RedSox,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.574074074,46.6,29.18,0.346,18.1,35
BlueJays,Orioles,W,0.549382716,46.7,28.14,0.327,19,23.7,0.549382716,47.3,26.91,0.326,15.4,20.2
Reds,Astros,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.518518519,48.1,29.74,0.317,20.1,20.6
Rockies,Marlins,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.49068323,46.1,28.77,0.309,14.5,20
Giants,Rays,L,0.537037037,43.5,28.27,0.315,17.2,26.8,0.419753086,48.8,29.26,0.315,12.2,17.3
Rangers,Cardinals,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.530864198,46.7,27.7,0.329,17.4,22.3
WhiteSox,Indians,W,0.481481481,46.7,27.06,0.314,15.9,16.4,0.583850932,46.4,30.09,0.326,18.7,26.7
Braves,Mets,L,0.422360248,45.5,26.35,0.304,8.9,10,0.537037037,45.9,29.76,0.315,24.4,20.5
Tigers,Royals,W,0.534161491,48,27.31,0.33,17.4,19.4,0.5,46.3,27.5,0.307,9.9,14.6
Pirates,Cubs,W,0.481481481,47,26.13,0.318,9.2,17.3,0.635802469,46.7,30.36,0.333,20.6,38
Brewers,Dodgers,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.561728395,46.3,32.05,0.314,22.7,24.2
Nationals,Padres,W,0.586419753,45.8,31.17,0.322,23.2,23,0.419753086,48.5,26.19,0.297,8.7,11.6
Braves,Mets,L,0.422360248,45.5,26.35,0.304,8.9,10,0.537037037,45.9,29.76,0.315,24.4,20.5
WhiteSox,Indians,W,0.481481481,46.7,27.06,0.314,15.9,16.4,0.583850932,46.4,30.09,0.326,18.7,26.7
Rockies,Marlins,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.49068323,46.1,28.77,0.309,14.5,20
Giants,Rays,L,0.537037037,43.5,28.27,0.315,17.2,26.8,0.419753086,48.8,29.26,0.315,12.2,17.3
Mariners,RedSox,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.574074074,46.6,29.18,0.346,18.1,35
BlueJays,Orioles,W,0.549382716,46.7,28.14,0.327,19,23.7,0.549382716,47.3,26.91,0.326,15.4,20.2
Reds,Astros,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.518518519,48.1,29.74,0.317,20.1,20.6
Yankees,Twins,W,0.518518519,44.8,30.4,0.311,18.2,14.6,0.364197531,47.9,26.48,0.317,8.5,12.5
Tigers,Royals,W,0.534161491,48,27.31,0.33,17.4,19.4,0.5,46.3,27.5,0.307,9.9,14.6
Rangers,Cardinals,L,0.586419753,46.2,25.24,0.324,10.1,18.7,0.530864198,46.7,27.7,0.329,17.4,22.3
Angels,Athletics,L,0.456790123,42.4,25.16,0.314,6.7,20.7,0.425925926,43.6,26.37,0.302,12.2,2.7
Brewers,Dodgers,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.561728395,46.3,32.05,0.314,22.7,24.2
Nationals,Padres,W,0.586419753,45.8,31.17,0.322,23.2,23,0.419753086,48.5,26.19,0.297,8.7,11.6
Pirates,Cubs,W,0.481481481,47,26.13,0.318,9.2,17.3,0.635802469,46.7,30.36,0.333,20.6,38
Giants,Pirates,W,0.537037037,43.5,28.27,0.315,17.2,26.8,0.481481481,47,26.13,0.318,9.2,17.3
WhiteSox,RedSox,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.574074074,46.6,29.18,0.346,18.1,35
Rockies,Marlins,L,0.462962963,48.8,26.66,0.339,13.5,17.5,0.49068323,46.1,28.77,0.309,14.5,20
Mariners,Tigers,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.534161491,48,27.31,0.33,17.4,19.4
Rays,Indians,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.583850932,46.4,30.09,0.326,18.7,26.7
Orioles,Rangers,W,0.549382716,47.3,26.91,0.326,15.4,20.2,0.586419753,46.2,25.24,0.324,10.1,18.7
Cardinals,Cubs,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.635802469,46.7,30.36,0.333,20.6,38
Angels,Astros,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.518518519,48.1,29.74,0.317,20.1,20.6
Nationals,Dodgers,W,0.586419753,45.8,31.17,0.322,23.2,23,0.561728395,46.3,32.05,0.314,22.7,24.2
Rockies,Yankees,L,0.462962963,48.8,26.66,0.339,13.5,17.5,0.518518519,44.8,30.4,0.311,18.2,14.6
Padres,Orioles,L,0.419753086,48.5,26.19,0.297,8.7,11.6,0.549382716,47.3,26.91,0.326,15.4,20.2
Giants,Pirates,L,0.537037037,43.5,28.27,0.315,17.2,26.8,0.481481481,47,26.13,0.318,9.2,17.3
Braves,Marlins,L,0.422360248,45.5,26.35,0.304,8.9,10,0.49068323,46.1,28.77,0.309,14.5,20
WhiteSox,RedSox,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.574074074,46.6,29.18,0.346,18.1,35
Royals,Mets,W,0.5,46.3,27.5,0.307,9.9,14.6,0.537037037,45.9,29.76,0.315,24.4,20.5
Mariners,Tigers,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.534161491,48,27.31,0.33,17.4,19.4
Rays,Indians,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.583850932,46.4,30.09,0.326,18.7,26.7
Reds,Rangers,L,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.586419753,46.2,25.24,0.324,10.1,18.7
Cardinals,Cubs,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.635802469,46.7,30.36,0.333,20.6,38
Angels,Astros,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.518518519,48.1,29.74,0.317,20.1,20.6
Phillies,Twins,W,0.438271605,47,28.53,0.296,13.6,10.2,0.364197531,47.9,26.48,0.317,8.5,12.5
Brewers,Athletics,W,0.450617284,49.9,25.31,0.315,12.5,12.3,0.425925926,43.6,26.37,0.302,12.2,2.7
Nationals,Dodgers,W,0.586419753,45.8,31.17,0.322,23.2,23,0.561728395,46.3,32.05,0.314,22.7,24.2
Braves,Marlins,W,0.422360248,45.5,26.35,0.304,8.9,10,0.49068323,46.1,28.77,0.309,14.5,20
Rockies,Yankees,W,0.462962963,48.8,26.66,0.339,13.5,17.5,0.518518519,44.8,30.4,0.311,18.2,14.6
Royals,Mets,W,0.5,46.3,27.5,0.307,9.9,14.6,0.537037037,45.9,29.76,0.315,24.4,20.5
Angels,Astros,W,0.456790123,42.4,25.16,0.314,6.7,20.7,0.518518519,48.1,29.74,0.317,20.1,20.6
Cardinals,Cubs,L,0.530864198,46.7,27.7,0.329,17.4,22.3,0.635802469,46.7,30.36,0.333,20.6,38
Brewers,Athletics,L,0.450617284,49.9,25.31,0.315,12.5,12.3,0.425925926,43.6,26.37,0.302,12.2,2.7
Padres,Orioles,W,0.419753086,48.5,26.19,0.297,8.7,11.6,0.549382716,47.3,26.91,0.326,15.4,20.2
Giants,Pirates,L,0.537037037,43.5,28.27,0.315,17.2,26.8,0.481481481,47,26.13,0.318,9.2,17.3
WhiteSox,RedSox,L,0.481481481,46.7,27.06,0.314,15.9,16.4,0.574074074,46.6,29.18,0.346,18.1,35
Mariners,Tigers,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.534161491,48,27.31,0.33,17.4,19.4
Rays,Indians,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.583850932,46.4,30.09,0.326,18.7,26.7
Reds,Rangers,W,0.419753086,46.7,26.46,0.311,-1.4,15.9,0.586419753,46.2,25.24,0.324,10.1,18.7
Phillies,Twins,W,0.438271605,47,28.53,0.296,13.6,10.2,0.364197531,47.9,26.48,0.317,8.5,12.5
Nationals,Dodgers,W,0.586419753,45.8,31.17,0.322,23.2,23,0.561728395,46.3,32.05,0.314,22.7,24.2
Giants,Pirates,L,0.537037037,43.5,28.27,0.315,17.2,26.8,0.481481481,47,26.13,0.318,9.2,17.3
Phillies,Twins,L,0.438271605,47,28.53,0.296,13.6,10.2,0.364197531,47.9,26.48,0.317,8.5,12.5
Mariners,Tigers,W,0.530864198,46.6,28.27,0.325,12.9,20.9,0.534161491,48,27.31,0.33,17.4,19.4
WhiteSox,RedSox,W,0.481481481,46.7,27.06,0.314,15.9,16.4,0.574074074,46.6,29.18,0.346,18.1,35
Cubs,Marlins,W,0.635802469,46.7,30.36,0.333,20.6,38,0.49068323,46.1,28.77,0.309,14.5,20
Mets,Braves,W,0.537037037,45.9,29.76,0.315,24.4,20.5,0.422360248,45.5,26.35,0.304,8.9,10
Padres,Reds,L,0.419753086,48.5,26.19,0.297,8.7,11.6,0.419753086,46.7,26.46,0.311,-1.4,15.9
Athletics,Angels,L,0.425925926,43.6,26.37,0.302,12.2,2.7,0.456790123,42.4,25.16,0.314,6.7,20.7
Dodgers,Pirates,W,0.561728395,46.3,32.05,0.314,22.7,24.2,0.481481481,47,26.13,0.318,9.2,17.3
Twins,Yankees,W,0.364197531,47.9,26.48,0.317,8.5,12.5,0.518518519,44.8,30.4,0.311,18.2,14.6
Rays,Orioles,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.549382716,47.3,26.91,0.326,15.4,20.2
Cubs,Marlins,L,0.635802469,46.7,30.36,0.333,20.6,38,0.49068323,46.1,28.77,0.309,14.5,20
Indians,Tigers,L,0.583850932,46.4,30.09,0.326,18.7,26.7,0.534161491,48,27.31,0.33,17.4,19.4
Padres,Reds,L,0.419753086,48.5,26.19,0.297,8.7,11.6,0.419753086,46.7,26.46,0.311,-1.4,15.9
Mets,Braves,L,0.537037037,45.9,29.76,0.315,24.4,20.5,0.422360248,45.5,26.35,0.304,8.9,10
RedSox,Rangers,L,0.574074074,46.6,29.18,0.346,18.1,35,0.586419753,46.2,25.24,0.324,10.1,18.7
BlueJays,WhiteSox,W,0.549382716,46.7,28.14,0.327,19,23.7,0.481481481,46.7,27.06,0.314,15.9,16.4
Nationals,Brewers,W,0.586419753,45.8,31.17,0.322,23.2,23,0.450617284,49.9,25.31,0.315,12.5,12.3
Astros,Royals,L,0.518518519,48.1,29.74,0.317,20.1,20.6,0.5,46.3,27.5,0.307,9.9,14.6
Athletics,Angels,L,0.425925926,43.6,26.37,0.302,12.2,2.7,0.456790123,42.4,25.16,0.314,6.7,20.7
Cardinals,Mariners,W,0.530864198,46.7,27.7,0.329,17.4,22.3,0.530864198,46.6,28.27,0.325,12.9,20.9
Phillies,Giants,W,0.438271605,47,28.53,0.296,13.6,10.2,0.537037037,43.5,28.27,0.315,17.2,26.8
Twins,Yankees,W,0.364197531,47.9,26.48,0.317,8.5,12.5,0.518518519,44.8,30.4,0.311,18.2,14.6
Rays,Orioles,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.549382716,47.3,26.91,0.326,15.4,20.2
Rays,Orioles,W,0.419753086,48.8,29.26,0.315,12.2,17.3,0.549382716,47.3,26.91,0.326,15.4,20.2
BlueJays,WhiteSox,L,0.549382716,46.7,28.14,0.327,19,23.7,0.481481481,46.7,27.06,0.314,15.9,16.4
Cubs,Marlins,W,0.635802469,46.7,30.36,0.333,20.6,38,0.49068323,46.1,28.77,0.309,14.5,20
Indians,Tigers,L,0.583850932,46.4,30.09,0.326,18.7,26.7,0.534161491,48,27.31,0.33,17.4,19.4
